SampleName	Oxidation_Zone
A01	Oxic
A02	Oxic
A03	Oxic
A04	Oxic
A05	Oxic
A06	Oxycline
A07	Oxycline
A08	Oxycline
A09	Oxycline
A10	Oxycline
A11	Oxycline
A12	Oxycline
A13	Oxycline
A14	Oxycline
A15	Oxidation_Zone
A16	Oxidation_Zone
A17	Oxidation_Zone
A18	Oxidation_Zone
A19	Oxidation_Zone
A20	Oxidation_Zone
A21	Oxidation_Zone
B01	Oxic
B02	Oxic
B03	Oxic
B04	Oxic
B05	Oxic
B06	Oxic
B07	Oxic
B08	Oxic
B09	Oxycline
B10	Oxycline
B11	Oxidation_Zone
B12	Oxidation_Zone
B13	Oxidation_Zone
B14	Oxidation_Zone
B15	Oxidation_Zone
B16b	Oxidation_Zone
B17	Oxidation_Zone
B18	Anoxic
B19	Anoxic
C02	Oxic
C03	Oxic
C04	Oxic
C05	Oxic
C04_75	Oxic
C06	Oxycline
C07	Oxycline
C08	Oxidation_Zone
C09	Oxidation_Zone
C10	Oxidation_Zone
C11	Oxidation_Zone
C12	Oxidation_Zone
C13	Oxidation_Zone
C14	Oxidation_Zone
C15	Anoxic
C16	Anoxic
C17	Anoxic
C18	Anoxic
D01	Oxic
D02	Oxic
D03	Oxic
D04	Oxic
D05	Oxic
D06	Oxic
D07	Oxic
D08	Oxidation_Zone
D09	Oxidation_Zone
D10	Oxidation_Zone
D11	Oxidation_Zone
D12	Oxidation_Zone
D13	Anoxic
D14	Anoxic
D15	Anoxic
D16	Anoxic
D17	Anoxic
D18	Anoxic
